# Complex refractive index of bare aluminium, n(lambda) + i k(lambda), 0.6-25.0 um.
#
# source: MODELLED, NOT MEASURED -- the Drude free-electron model
#   eps(w) = 1 - wp^2 / (w^2 + i Gamma w), with wp = 12.53 eV and Gamma = 0.0759 eV.
#   Free-carrier response is the right physics for a metal far below its plasma frequency, which
#   the whole infrared is; aluminium's interband structure sits in the ultraviolet. The two
#   parameters are chosen so the model reproduces the commonly quoted n = 25.3, k = 89.8 at
#   10 um, and both land inside the spread of published Drude fits for Al. Replace with a
#   measured table (Ordal et al. 1985, or Rakic et al. 1998) when one is obtainable; the loader
#   and every consumer are unchanged by the swap.
#
# Generated by scripts/generate_nk_tables.py on 2026-09-15 (roadmap M7.5).
# Check values from this model: n(4.0 um) = 4.77, k = 39.54; n(10.0 um) = 25.31,
#   k = 89.83. Normal-incidence emissivity at 10 um: 0.01156.
# Columns: wavelength in MICROMETRES, then n, then k.
wavelength_um,n,k
0.60000,0.11281,5.97757
0.60563,0.11491,6.03521
0.61132,0.11705,6.09338
0.61706,0.11922,6.15208
0.62286,0.12144,6.21131
0.62871,0.12370,6.27108
0.63461,0.12600,6.33140
0.64057,0.12835,6.39227
0.64659,0.13074,6.45369
0.65266,0.13318,6.51567
0.65879,0.13566,6.57822
0.66498,0.13819,6.64135
0.67122,0.14076,6.70504
0.67753,0.14338,6.76933
0.68389,0.14606,6.83420
0.69031,0.14878,6.89966
0.69680,0.15156,6.96572
0.70334,0.15438,7.03239
0.70994,0.15726,7.09967
0.71661,0.16020,7.16756
0.72334,0.16319,7.23608
0.73014,0.16624,7.30523
0.73699,0.16934,7.37501
0.74391,0.17250,7.44543
0.75090,0.17572,7.51649
0.75795,0.17901,7.58821
0.76507,0.18235,7.66059
0.77226,0.18576,7.73363
0.77951,0.18923,7.80735
0.78683,0.19276,7.88174
0.79422,0.19637,7.95681
0.80168,0.20004,8.03258
0.80921,0.20378,8.10904
0.81681,0.20759,8.18620
0.82448,0.21147,8.26408
0.83222,0.21543,8.34267
0.84004,0.21946,8.42198
0.84792,0.22356,8.50202
0.85589,0.22774,8.58280
0.86393,0.23200,8.66433
0.87204,0.23635,8.74660
0.88023,0.24077,8.82963
0.88850,0.24527,8.91343
0.89684,0.24987,8.99800
0.90526,0.25454,9.08335
0.91376,0.25931,9.16948
0.92235,0.26416,9.25641
0.93101,0.26911,9.34414
0.93975,0.27415,9.43267
0.94858,0.27928,9.52203
0.95749,0.28451,9.61220
0.96648,0.28984,9.70321
0.97555,0.29527,9.79506
0.98472,0.30080,9.88775
0.99396,0.30643,9.98130
1.00330,0.31217,10.07571
1.01272,0.31802,10.17099
1.02223,0.32398,10.26715
1.03183,0.33005,10.36419
1.04152,0.33623,10.46213
1.05130,0.34253,10.56097
1.06118,0.34895,10.66073
1.07114,0.35549,10.76140
1.08120,0.36215,10.86300
1.09136,0.36894,10.96554
1.10161,0.37585,11.06903
1.11195,0.38289,11.17346
1.12240,0.39007,11.27886
1.13294,0.39738,11.38524
1.14358,0.40483,11.49259
1.15432,0.41241,11.60093
1.16516,0.42014,11.71027
1.17610,0.42802,11.82062
1.18714,0.43604,11.93199
1.19829,0.44421,12.04438
1.20955,0.45254,12.15780
1.22091,0.46102,12.27228
1.23237,0.46966,12.38780
1.24395,0.47846,12.50439
1.25563,0.48743,12.62206
1.26742,0.49656,12.74080
1.27932,0.50587,12.86064
1.29134,0.51535,12.98159
1.30347,0.52501,13.10365
1.31571,0.53485,13.22683
1.32806,0.54487,13.35114
1.34054,0.55508,13.47660
1.35313,0.56548,13.60321
1.36583,0.57608,13.73098
1.37866,0.58687,13.85993
1.39161,0.59787,13.99007
1.40468,0.60907,14.12140
1.41787,0.62048,14.25394
1.43119,0.63211,14.38770
1.44463,0.64395,14.52268
1.45819,0.65601,14.65891
1.47189,0.66830,14.79638
1.48571,0.68082,14.93512
1.49966,0.69357,15.07513
1.51375,0.70656,15.21642
1.52796,0.71979,15.35901
1.54231,0.73327,15.50291
1.55680,0.74701,15.64813
1.57142,0.76099,15.79467
1.58618,0.77524,15.94256
1.60107,0.78975,16.09180
1.61611,0.80454,16.24241
1.63129,0.81960,16.39440
1.64661,0.83494,16.54778
1.66207,0.85057,16.70256
1.67768,0.86649,16.85876
1.69344,0.88270,17.01638
1.70934,0.89922,17.17544
1.72539,0.91604,17.33595
1.74160,0.93318,17.49793
1.75795,0.95063,17.66139
1.77446,0.96841,17.82634
1.79113,0.98652,17.99279
1.80795,1.00497,18.16076
1.82493,1.02376,18.33026
1.84207,1.04290,18.50130
1.85937,1.06239,18.67389
1.87683,1.08225,18.84806
1.89446,1.10248,19.02381
1.91225,1.12308,19.20116
1.93021,1.14406,19.38011
1.94833,1.16543,19.56070
1.96663,1.18720,19.74291
1.98510,1.20937,19.92678
2.00374,1.23195,20.11232
2.02256,1.25495,20.29954
2.04156,1.27838,20.48845
2.06073,1.30224,20.67907
2.08008,1.32654,20.87141
2.09962,1.35129,21.06549
2.11934,1.37650,21.26132
2.13924,1.40217,21.45892
2.15933,1.42832,21.65830
2.17961,1.45495,21.85948
