# Complex refractive index of glass (fused silica, as a proxy for soda-lime float glass), n(lambda) + i k(lambda), 0.6-25 um.
#
# source: D. Franta, D. Necas, I. Ohlidal, A. Giglia (2016), 'Optical characterization of SiO2 thin films using universal dispersion model over wide spectral range', Proc. SPIE 9890, 989014. doi:10.1117/12.2227580. Fused silica PLATE, 0.405 mm, room temperature -- a bulk sample rather than a thin film, which is why this dataset was chosen over the thin-film alternatives in the same database.
#   Retrieved 2026-09-15 from
#   https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/main/database/data/main/SiO2/nk/Franta.yml
#   (RefractiveIndex.INFO database, public domain / CC0 1.0), converted by
#   scripts/fetch_nk_tables.py and truncated to 0.6-25 um; values otherwise unmodified.
#   PROXY: fused silica, not soda-lime. No freely available soda-lime dataset spans 0.75-13.5 um. Both are silicate glasses and share the Si-O stretching resonance that dominates the LWIR; soda-lime's alkali and iron content changes the magnitude more than the angular shape, and the magnitude is taken from the material's authored per-band emissivity, not from this table (M7.5).
#
# Check values interpolated from this table: n(1.55 um) = 1.444309, k = 2.5545e-16;
#   n(10.0 um) = 2.526835, k = 0.082695. Normal-incidence Fresnel emissivity at 10.0 um: 0.81213.
# Columns: wavelength in MICROMETRES, then n, then k.
wavelength_um,n,k
0.600344,1.45822,7.5592e-322
0.601728,1.45817,4.89619e-320
0.603115,1.45812,3.0109e-318
0.604505,1.45808,1.81161e-316
0.605898,1.45803,1.06726e-314
0.607295,1.45799,6.15688e-313
0.608695,1.45794,3.47839e-311
0.610098,1.4579,1.92472e-309
0.611505,1.45786,1.04321e-307
0.612914,1.45781,5.53905e-306
0.614327,1.45777,2.88138e-304
0.615744,1.45772,1.46862e-302
0.617163,1.45768,7.33515e-301
0.618586,1.45764,3.59036e-299
0.620012,1.45759,1.72243e-297
0.621441,1.45755,8.09951e-296
0.622874,1.45751,3.73366e-294
0.624309,1.45746,1.68737e-292
0.625749,1.45742,7.47699e-291
0.627191,1.45738,3.24883e-289
0.628637,1.45734,1.38436e-287
0.630086,1.45729,5.78548e-286
0.631539,1.45725,2.37156e-284
0.632994,1.45721,9.53624e-283
0.634454,1.45717,3.7619e-281
0.635916,1.45713,1.45601e-279
0.637382,1.45709,5.52957e-278
0.638851,1.45704,2.06075e-276
0.640324,1.457,7.53715e-275
0.6418,1.45696,2.70568e-273
0.64328,1.45692,9.53394e-272
0.644763,1.45688,3.29788e-270
0.646249,1.45684,1.11996e-268
0.647739,1.4568,3.73434e-267
0.649232,1.45676,1.22266e-265
0.650729,1.45672,3.93118e-264
0.652229,1.45668,1.24136e-262
0.653732,1.45664,3.85007e-261
0.655239,1.4566,1.17294e-259
0.65675,1.45656,3.51041e-258
0.658264,1.45652,1.03217e-256
0.659781,1.45648,2.98188e-255
0.661302,1.45644,8.46478e-254
0.662827,1.4564,2.36137e-252
0.664354,1.45636,6.47399e-251
0.665886,1.45632,1.74452e-249
0.667421,1.45628,4.62075e-248
0.66896,1.45624,1.20315e-246
0.670502,1.45621,3.07985e-245
0.672047,1.45617,7.75144e-244
0.673597,1.45613,1.91828e-242
0.675149,1.45609,4.66826e-241
0.676706,1.45605,1.11724e-239
0.678266,1.45601,2.62979e-238
0.679829,1.45598,6.08856e-237
0.681396,1.45594,1.38664e-235
0.682967,1.4559,3.10669e-234
0.684542,1.45586,6.84792e-233
0.68612,1.45583,1.48517e-231
0.687701,1.45579,3.16947e-230
0.689287,1.45575,6.65615e-229
0.690876,1.45571,1.37569e-227
0.692468,1.45568,2.79842e-226
0.694065,1.45564,5.60315e-225
0.695665,1.4556,1.10437e-223
0.697268,1.45557,2.14285e-222
0.698876,1.45553,4.09351e-221
0.700487,1.45549,7.6995e-220
0.702101,1.45546,1.42601e-218
0.70372,1.45542,2.60082e-217
0.705342,1.45539,4.67153e-216
0.706968,1.45535,8.26416e-215
0.708598,1.45531,1.44e-213
0.710231,1.45528,2.47163e-212
0.711869,1.45524,4.1792e-211
0.71351,1.45521,6.96183e-210
0.715154,1.45517,1.14263e-208
0.716803,1.45514,1.84787e-207
0.718455,1.4551,2.94478e-206
0.720112,1.45507,4.62466e-205
0.721772,1.45503,7.15788e-204
0.723436,1.455,1.09194e-202
0.725103,1.45496,1.64191e-201
0.726775,1.45493,2.43373e-200
0.72845,1.45489,3.55627e-199
0.730129,1.45486,5.12328e-198
0.731813,1.45482,7.27717e-197
0.7335,1.45479,1.01922e-195
0.73519,1.45475,1.40765e-194
0.736885,1.45472,1.91722e-193
0.738584,1.45468,2.57531e-192
0.740287,1.45465,3.4119e-191
0.741993,1.45462,4.45865e-190
0.743704,1.45458,5.74751e-189
0.745418,1.45455,7.30891e-188
0.747136,1.45451,9.16965e-187
0.748859,1.45448,1.13503e-185
