# Complex refractive index of paint proxy (PMMA, as a proxy for an automotive clearcoat), n(lambda) + i k(lambda), 0.6-19.6 um.
#
# source: X. Zhang, J. Qiu, X. Li, J. Zhao, L. Liu (2020), 'Complex refractive indices measurements of polymers in visible and near-infrared bands', Appl. Opt. 59, 2337-2344. doi:10.1364/AO.383831. Mitsubishi PMMA sample.
#   Retrieved 2026-09-15 from
#   https://raw.githubusercontent.com/polyanskiy/refractiveindex.info-database/main/database/data/organic/(C5H8O2)n%20-%20poly(methyl%20methacrylate)/nk/Zhang-Mitsubishi.yml
#   (RefractiveIndex.INFO database, public domain / CC0 1.0), converted by
#   scripts/fetch_nk_tables.py and truncated to 0.6-19.6 um; values otherwise unmodified.
#   PROXY: PMMA, not paint. A paint film is a pigmented basecoat under a polymer clearcoat, and the clearcoat is an acrylic -- so this is the binder, measured, without the pigment. It exists to give the *painted* material class a fitted Level B (a, p) instead of an estimated one (§4.2 asks for exactly that fit), and the emissivity magnitude still comes from each material's authored band value.
#
# Check values interpolated from this table: n(1.55 um) = 1.477070, k = 3.39e-06;
#   n(10.0 um) = 1.499792, k = 0.042477. Normal-incidence Fresnel emissivity at 10.0 um: 0.95975.
# Columns: wavelength in MICROMETRES, then n, then k.
wavelength_um,n,k
0.6,1.49216,2.43e-07
0.61,1.49177,2.11e-07
0.62,1.49143,1.98e-07
0.63,1.49086,1.77e-07
0.64,1.49055,1.79e-07
0.65,1.49037,1.58e-07
0.66,1.48993,1.48e-07
0.67,1.4899,1.33e-07
0.68,1.48941,1.15e-07
0.69,1.48913,1.23e-07
0.7,1.48875,1.36e-07
0.71,1.4884,1.31e-07
0.72,1.4883,1.53e-07
0.73,1.48788,1.62e-07
0.74,1.48741,1.62e-07
0.75,1.48695,1.49e-07
0.76,1.48675,1.04e-07
0.77,1.48662,6.31e-08
0.78,1.48597,1.4e-07
0.79,1.48609,1.13e-07
0.8,1.48555,9.92e-08
0.81,1.48561,8.9e-08
0.82,1.48579,1.26e-07
0.83,1.48583,3.68e-08
0.84,1.48539,7.54e-08
0.85,1.48565,1.05e-07
0.86,1.48567,1.5e-07
0.87,1.48541,3.89e-08
0.88,1.48508,6.32e-08
0.89,1.48506,4.55e-07
0.9,1.48487,1.82e-07
0.91,1.48469,8.71e-07
0.92,1.48449,6.45e-07
0.93,1.48446,4.64e-07
0.94,1.48425,4.39e-07
0.95,1.48411,8.95e-08
0.96,1.48409,6.18e-07
0.97,1.48394,7.49e-08
0.98,1.48364,9.96e-08
0.99,1.48353,4.82e-07
1,1.48358,1.21e-07
1.01,1.48352,8.89e-07
1.02,1.48359,7.97e-07
1.03,1.48108,7.87e-07
1.04,1.48059,7.96e-07
1.05,1.48115,6.94e-07
1.06,1.48085,6.99e-07
1.07,1.48067,6.3e-07
1.08,1.48092,6e-07
1.09,1.48092,7.77e-07
1.1,1.48058,7.54e-07
1.11,1.4807,1.2e-06
1.12,1.48047,1.6e-06
1.13,1.48,2.78e-06
1.14,1.47956,4.05e-06
1.15,1.47957,5.13e-06
1.16,1.47943,6.96e-06
1.17,1.48002,8.61e-06
1.18,1.48007,8.52e-06
1.19,1.4795,5.91e-06
1.2,1.47939,4.17e-06
1.21,1.47892,2.79e-06
1.22,1.47874,1.87e-06
1.23,1.47896,1.56e-06
1.24,1.4785,1.33e-06
1.25,1.47838,1.18e-06
1.26,1.47879,9.54e-07
1.27,1.47935,1.1e-06
1.28,1.47872,1.04e-06
1.29,1.47804,1.08e-06
1.3,1.47796,1.09e-06
1.31,1.47809,1.19e-06
1.32,1.47829,1.46e-06
1.33,1.4772,2.39e-06
1.34,1.47761,6.26e-06
1.35,1.47742,8.95e-06
1.36,1.47763,1e-05
1.37,1.47835,1.19e-05
1.38,1.47751,1.2e-05
1.39,1.47728,1.25e-05
1.4,1.47705,1.11e-05
1.41,1.47756,1.12e-05
1.42,1.47769,1.2e-05
1.43,1.47776,1.19e-05
1.44,1.47706,1.03e-05
1.45,1.47707,7.85e-06
1.46,1.47673,6.07e-06
1.47,1.47719,5.42e-06
1.48,1.47798,3.92e-06
1.49,1.47746,3.97e-06
1.5,1.47689,3.48e-06
1.51,1.47638,3.16e-06
1.52,1.47612,2.99e-06
1.53,1.47613,2.95e-06
1.54,1.47646,2.95e-06
1.55,1.47707,3.39e-06
1.56,1.47674,3.45e-06
1.57,1.47632,3.69e-06
1.58,1.4762,4.06e-06
1.59,1.47595,4.55e-06
1.6,1.47591,5.14e-06
1.61,1.47603,6.47e-06
1.62,1.47613,9.39e-06
1.63,1.47543,1.01e-05
1.64,1.47573,1.17e-05
1.65,1.47555,1.82e-05
1.66,1.47525,4.11e-05
1.67,1.47507,6.07e-05
1.68,1.47563,8.46e-05
1.69,1.4754,6.41e-05
1.7,1.47513,6.74e-05
1.71,1.47502,6.21e-05
1.72,1.47524,6.38e-05
1.73,1.47516,5.83e-05
1.74,1.47472,5.01e-05
1.75,1.47485,4.16e-05
1.76,1.47435,3.43e-05
1.77,1.47475,3.15e-05
1.78,1.47529,3.36e-05
1.79,1.47469,3.08e-05
1.8,1.4746,2.56e-05
1.81,1.47481,2.19e-05
1.82,1.47477,2.02e-05
1.83,1.47427,2.01e-05
1.84,1.47462,2.04e-05
1.85,1.47395,2.22e-05
1.86,1.47465,2.38e-05
1.87,1.47471,2.27e-05
1.88,1.47491,2.53e-05
1.89,1.47468,3.64e-05
1.9,1.47467,6.07e-05
1.91,1.47431,7.26e-05
1.92,1.47462,5.15e-05
1.93,1.4745,3.78e-05
1.94,1.47446,3.73e-05
1.95,1.47446,3.93e-05
1.96,1.47418,3.09e-05
1.97,1.47432,2.48e-05
1.98,1.47355,2.31e-05
1.99,1.47372,2.29e-05
2,1.47395,2.34e-05
2.0097,1.46073,2.37e-05
2.019,1.45977,2.42e-05
2.0285,1.46039,2.48e-05
2.0381,1.461,2.56e-05
2.0478,1.46115,2.64e-05
2.0575,1.46315,2.76e-05
2.0673,1.46479,2.83e-05
2.0773,1.46532,3.01e-05
2.0873,1.46743,3.49e-05
2.0975,1.46996,3.58e-05
2.1077,1.47089,4.27e-05
2.118,1.47088,5.11e-05
2.1285,1.47076,5.28e-05
2.139,1.47066,5.67e-05
2.1496,1.47066,5.61e-05
2.1568,1.47111,5.39e-05
2.1676,1.47084,5.5e-05
2.1785,1.47017,5.6e-05
2.1896,1.47035,6.3e-05
2.197,1.47048,7.57e-05
2.2082,1.47025,9.51e-05
2.2196,1.47022,0.00645
2.2272,1.47065,0.00645
2.2387,1.47148,0.00626
2.2465,1.47232,0.0059
2.2582,1.47321,0.00543
2.2661,1.47387,0.00563
2.2781,1.47295,0.00538
2.2861,1.47101,0.00506
2.2983,1.46898,0.00501
2.3065,1.46966,0.005
2.3188,1.47179,0.00517
2.3272,1.47235,0.00519
2.3398,1.47211,0.00491
2.3482,1.47175,0.00506
2.3568,1.47152,0.00534
2.3697,1.47088,0.00599
2.3784,1.47023,0.00573
2.3872,1.47041,0.00514
2.396,1.47084,0.00498
2.4093,1.47152,0.00564
2.4183,1.47166,0.00589
2.4274,1.47153,0.00586
2.4365,1.47168,0.0056
2.4457,1.47186,0.00523
2.4596,1.47115,0.0051
2.469,1.47085,0.00499
2.4784,1.47024,0.00433
2.488,1.46931,0.00379
2.4975,1.46899,0.00392
2.5072,1.46913,0.00453
2.5169,1.46955,0.00502
2.5268,1.4705,0.00534
2.5366,1.47134,0.00559
2.5466,1.4718,0.00524
2.5567,1.47161,0.00441
2.5668,1.46997,0.00399
2.577,1.46845,0.00363
2.5873,1.46788,0.00381
2.5976,1.46812,0.00479
2.6081,1.4686,0.00571
2.6186,1.46921,0.00566
2.6293,1.4697,0.00562
2.64,1.46986,0.00565
2.6454,1.46981,0.00555
2.6562,1.47009,0.00535
2.6671,1.47014,0.00489
2.6782,1.47043,0.00454
2.6893,1.47062,0.00435
2.6949,1.47045,0.0045
2.7061,1.46946,0.00493
2.7175,1.46875,0.0052
2.7289,1.46894,0.0055
2.7347,1.46928,0.00558
2.7462,1.46963,0.00535
2.7579,1.46981,0.00532
2.7697,1.46889,0.00489
2.7756,1.46868,0.00457
2.7876,1.46878,0.00437
2.7996,1.46908,0.00481
2.8057,1.46945,0.00508
2.8179,1.46983,0.00542
