# Complex refractive index of liquid water, n(lambda) + i k(lambda), 0.65-15.6 um.
#
# source: Segelstein, D. J. (1981), "The Complex Refractive Index of Water", M.S. thesis,
#   University of Missouri-Kansas City. Table retrieved 2026-09-14 from
#   https://omlc.org/spectra/water/data/segelstein81_index.txt (Oregon Medical Laser Center),
#   truncated to the 0.65-15.6 um range this project uses and otherwise unmodified.
#
# EXTENDED 2026-09-15 from 2.0 um down to 0.65 um, re-truncated from the same download.
# The reason is concrete: a maritime scene in SWIR or NIR needs water's Fresnel reflectance
# over 0.7-1.8 um, and the loader **refuses to extrapolate** an n/k table rather than invent
# optical constants -- so a ship render in those bands failed outright until this range
# existed. The 365 rows at and above 2.0 um are **byte-identical** to the previous file, which
# is the check that this is the same table and not a second compilation stitched onto the
# first.
#
# What the new range means for the sea. Reflectance there is set by n alone: k runs from
# 1.6e-7 at 0.75 um to 3.6e-4 at the 1.45 um band, and at those values the absorption term in
# Fresnel's equations changes R by less than 1e-6. n itself moves only from 1.3272 to 1.3034
# across 0.75-1.80 um, so normal-incidence reflectance varies between 0.0201 and 0.0192 -- the
# sea is a dark, strongly angle-dependent mirror in every reflective band, exactly as it is in
# the visible, and the grazing-angle behaviour the maritime lane cares about is unchanged.
#
# STATUS: MEASURED (a published compilation, not authored here).
#
# Why Segelstein and not Hale & Querry 1973, which docs/physics-model.md section 4.2 quotes:
# Segelstein tabulates n AND k across the whole infrared in one self-consistent
# Kramers-Kronig-analysed dataset, and is downloadable in full. Hale & Querry's n is not freely
# available as a table; only its absorption coefficient is. Mixing n from one compilation with k
# from another is worse practice than using one whole.
#
# The two disagree on n at 10 um: Segelstein 1.1932, Hale & Querry 1.218 (a 2 % difference). Their
# k agrees to 0.02 % (0.05079 vs 0.0508). The consequence for this project is small and bounded:
# normal-incidence emissivity is 0.9917 from Segelstein against 0.9898 from Hale & Querry, a
# difference of 0.002, which is five times below the 0.01 tolerance MM.1 holds the band-effective
# sea emissivity to against published sea-surface tables. See ADR 0079.
#
# Note on sea water: this is FRESH water. Salinity raises k slightly in the LWIR and lowers
# emissivity by well under 0.01; ADR 0079 records the bound. Do not read this file as a
# salinity-corrected sea-water table.
#
# Columns: wavelength in MICROMETRES (increasing), real index n, extinction coefficient k.
wavelength_um,n,k
0.6501,1.330683,1.674000e-08
0.6546,1.330490,1.777000e-08
0.6607,1.330238,1.940000e-08
0.6653,1.330052,2.031000e-08
0.6699,1.329869,2.098000e-08
0.6745,1.329690,2.177000e-08
0.6808,1.329452,2.300000e-08
0.6855,1.329278,2.471000e-08
0.6902,1.329106,2.653000e-08
0.6950,1.328938,2.963000e-08
0.6998,1.328769,3.348000e-08
0.7047,1.328603,4.100000e-08
0.7096,1.328440,4.998000e-08
0.7145,1.328279,5.995000e-08
0.7194,1.328120,7.291000e-08
0.7244,1.327963,9.137000e-08
0.7295,1.327808,1.150000e-07
0.7345,1.327652,1.348000e-07
0.7396,1.327502,1.458000e-07
0.7447,1.327350,1.530000e-07
0.7499,1.327201,1.559000e-07
0.7551,1.327055,1.580000e-07
0.7603,1.326909,1.580000e-07
0.7656,1.326764,1.570000e-07
0.7691,1.326667,1.527000e-07
0.7745,1.326524,1.478000e-07
0.7798,1.326382,1.409000e-07
0.7852,1.326244,1.339000e-07
0.7907,1.326104,1.282000e-07
0.7943,1.326012,1.258000e-07
0.7998,1.325874,1.250000e-07
0.8054,1.325739,1.270000e-07
0.8091,1.325648,1.330000e-07
0.8147,1.325512,1.448000e-07
0.8204,1.325379,1.621000e-07
0.8241,1.325290,1.819000e-07
0.8299,1.325157,2.041000e-07
0.8356,1.325025,2.243000e-07
0.8395,1.324937,2.459000e-07
0.8453,1.324805,2.690000e-07
0.8492,1.324718,2.929000e-07
0.8551,1.324590,3.153000e-07
0.8590,1.324502,3.348000e-07
0.8650,1.324373,3.546000e-07
0.8710,1.324244,3.748000e-07
0.8750,1.324159,3.907000e-07
0.8790,1.324074,4.053000e-07
0.8851,1.323946,4.234000e-07
0.8892,1.323859,4.403000e-07
0.8954,1.323732,4.622000e-07
0.8995,1.323648,4.862000e-07
0.9057,1.323520,5.150000e-07
0.9099,1.323434,5.699000e-07
0.9141,1.323351,6.696000e-07
0.9204,1.323222,8.304000e-07
0.9247,1.323138,1.060000e-06
0.9290,1.323054,1.368000e-06
0.9354,1.322926,1.771000e-06
0.9397,1.322842,2.169000e-06
0.9441,1.322757,2.557000e-06
0.9506,1.322630,2.932000e-06
0.9550,1.322546,3.190000e-06
0.9594,1.322462,3.358000e-06
