# Night-sky (airglow) RELATIVE spectral shape s(lambda). Columns: wavelength in MICROMETRES,
# relative spectral density per micrometre. The SCALE IS ARBITRARY -- the level comes from
# environment.night.airglow_irradiance_* (§5.5) and irsim.radiometry.night normalises by this
# file's own integral over 0.6-2.6 um, so a band takes its own fraction of the configured level
# rather than all of it (ADR 0065).
#
# STATUS: MODELLED, NOT MEASURED. Meinel bands of vibrationally excited OH (H + O3 -> OH* + O2 at
# ~87 km) plus the O2(a1Delta-X) band at 1.27 um. Band HEADS are spectroscopy; relative SEQUENCE
# strengths are modelled: Delta-v = 1/2/3/4 carry 55/27/12/6 % of the OH
# emission, with a flat 4 % continuum for zodiacal and unresolved light. Replace with a
# measured near-infrared sky spectrum when one is available; nothing in the code changes.
#
# Model band fractions of the configured level:
#   NIR       0.75-1.00:  13.5 %
#   SWIR      0.90-1.70:  66.3 %
#   SWIR ext. 0.90-2.50:  88.8 %
#   dv=1 peak 1.40-2.00:  45.5 %

# Generated by scripts/generate_airglow_spectrum.py on 2026-09-15 (roadmap M11.4).
wavelength_um,relative_density_per_um
0.6000,2.000000e-02
0.6010,2.000000e-02
0.6020,2.000000e-02
0.6030,2.000000e-02
0.6040,2.000000e-02
0.6050,2.000000e-02
0.6060,2.000000e-02
0.6070,2.000001e-02
0.6080,2.000001e-02
0.6090,2.000001e-02
0.6100,2.000002e-02
0.6110,2.000002e-02
0.6120,2.000003e-02
0.6130,2.000005e-02
0.6140,2.000006e-02
0.6150,2.000009e-02
0.6160,2.000012e-02
0.6170,2.000016e-02
0.6180,2.000022e-02
0.6190,2.000030e-02
0.6200,2.000040e-02
0.6210,2.000053e-02
0.6220,2.000071e-02
0.6230,2.000094e-02
0.6240,2.000125e-02
0.6250,2.000165e-02
0.6260,2.000218e-02
0.6270,2.000286e-02
0.6280,2.000375e-02
0.6290,2.000490e-02
0.6300,2.000637e-02
0.6310,2.000827e-02
0.6320,2.001071e-02
0.6330,2.001381e-02
0.6340,2.001776e-02
0.6350,2.002277e-02
0.6360,2.002910e-02
0.6370,2.003708e-02
0.6380,2.004710e-02
0.6390,2.005964e-02
0.6400,2.007530e-02
0.6410,2.009476e-02
0.6420,2.011889e-02
0.6430,2.014871e-02
0.6440,2.018543e-02
0.6450,2.023051e-02
0.6460,2.028566e-02
0.6470,2.035292e-02
0.6480,2.043466e-02
0.6490,2.053370e-02
0.6500,2.065328e-02
0.6510,2.079719e-02
0.6520,2.096981e-02
0.6530,2.117617e-02
0.6540,2.142205e-02
0.6550,2.171404e-02
0.6560,2.205962e-02
0.6570,2.246726e-02
0.6580,2.294647e-02
0.6590,2.350793e-02
0.6600,2.416353e-02
0.6610,2.492645e-02
0.6620,2.581124e-02
0.6630,2.683384e-02
0.6640,2.801167e-02
0.6650,2.936363e-02
0.6660,3.091010e-02
0.6670,3.267291e-02
0.6680,3.467533e-02
0.6690,3.694197e-02
0.6700,3.949866e-02
0.6710,4.237232e-02
0.6720,4.559078e-02
0.6730,4.918253e-02
0.6740,5.317647e-02
0.6750,5.760157e-02
0.6760,6.248656e-02
0.6770,6.785949e-02
0.6780,7.374730e-02
0.6790,8.017538e-02
0.6800,8.716704e-02
0.6810,9.474300e-02
0.6820,1.029208e-01
0.6830,1.117145e-01
0.6840,1.211337e-01
0.6850,1.311834e-01
0.6860,1.418633e-01
0.6870,1.531677e-01
0.6880,1.650844e-01
0.6890,1.775953e-01
0.6900,1.906753e-01
0.6910,2.042926e-01
0.6920,2.184088e-01
0.6930,2.329785e-01
0.6940,2.479500e-01
0.6950,2.632650e-01
0.6960,2.788598e-01
0.6970,2.946654e-01
0.6980,3.106083e-01
0.6990,3.266112e-01
0.7000,3.425943e-01
0.7010,3.584761e-01
0.7020,3.741743e-01
0.7030,3.896075e-01
0.7040,4.046958e-01
0.7050,4.193626e-01
0.7060,4.335352e-01
0.7070,4.471464e-01
0.7080,4.601356e-01
0.7090,4.724493e-01
0.7100,4.840425e-01
0.7110,4.948792e-01
0.7120,5.049329e-01
0.7130,5.141871e-01
0.7140,5.226353e-01
0.7150,5.302810e-01
0.7160,5.371378e-01
0.7170,5.432282e-01
0.7180,5.485838e-01
0.7190,5.532437e-01
0.7200,5.572541e-01
0.7210,5.606666e-01
0.7220,5.635372e-01
0.7230,5.659251e-01
0.7240,5.678908e-01
0.7250,5.694951e-01
0.7260,5.707972e-01
0.7270,5.718540e-01
0.7280,5.727180e-01
0.7290,5.734368e-01
0.7300,5.740518e-01
0.7310,5.745973e-01
0.7320,5.751002e-01
0.7330,5.755792e-01
0.7340,5.760449e-01
0.7350,5.765001e-01
0.7360,5.769394e-01
0.7370,5.773505e-01
0.7380,5.777145e-01
0.7390,5.780070e-01
0.7400,5.781993e-01
0.7410,5.782592e-01
0.7420,5.781529e-01
0.7430,5.778462e-01
0.7440,5.773056e-01
0.7450,5.765001e-01
0.7460,5.754023e-01
0.7470,5.739899e-01
0.7480,5.722462e-01
0.7490,5.701617e-01
0.7500,5.677345e-01
0.7510,5.649707e-01
0.7520,5.618849e-01
0.7530,5.585001e-01
0.7540,5.548474e-01
0.7550,5.509658e-01
0.7560,5.469013e-01
0.7570,5.427058e-01
0.7580,5.384363e-01
0.7590,5.341536e-01
0.7600,5.299205e-01
0.7610,5.258008e-01
0.7620,5.218574e-01
0.7630,5.181506e-01
0.7640,5.147368e-01
0.7650,5.116672e-01
0.7660,5.089855e-01
0.7670,5.067278e-01
0.7680,5.049206e-01
0.7690,5.035804e-01
0.7700,5.027131e-01
0.7710,5.023132e-01
0.7720,5.023641e-01
0.7730,5.028379e-01
0.7740,5.036962e-01
0.7750,5.048905e-01
0.7760,5.063631e-01
0.7770,5.080484e-01
0.7780,5.098741e-01
0.7790,5.117631e-01
0.7800,5.136347e-01
0.7810,5.154068e-01
0.7820,5.169974e-01
0.7830,5.183269e-01
0.7840,5.193196e-01
0.7850,5.199058e-01
0.7860,5.200234e-01
0.7870,5.196194e-01
0.7880,5.186516e-01
0.7890,5.170897e-01
0.7900,5.149162e-01
0.7910,5.121273e-01
0.7920,5.087333e-01
0.7930,5.047590e-01
0.7940,5.002436e-01
0.7950,4.952401e-01
0.7960,4.898151e-01
0.7970,4.840478e-01
0.7980,4.780287e-01
0.7990,4.718585e-01
0.8000,4.656463e-01
0.8010,4.595083e-01
0.8020,4.535653e-01
0.8030,4.479414e-01
0.8040,4.427616e-01
0.8050,4.381495e-01
0.8060,4.342256e-01
0.8070,4.311050e-01
0.8080,4.288954e-01
0.8090,4.276952e-01
0.8100,4.275918e-01
0.8110,4.286600e-01
0.8120,4.309604e-01
0.8130,4.345385e-01
0.8140,4.394235e-01
0.8150,4.456276e-01
0.8160,4.531459e-01
0.8170,4.619561e-01
0.8180,4.720184e-01
0.8190,4.832764e-01
0.8200,4.956576e-01
0.8210,5.090745e-01
0.8220,5.234257e-01
0.8230,5.385979e-01
0.8240,5.544672e-01
0.8250,5.709010e-01
0.8260,5.877606e-01
0.8270,6.049031e-01
0.8280,6.221836e-01
0.8290,6.394578e-01
0.8300,6.565840e-01
0.8310,6.734258e-01
0.8320,6.898539e-01
0.8330,7.057485e-01
0.8340,7.210007e-01
0.8350,7.355143e-01
0.8360,7.492075e-01
0.8370,7.620133e-01
0.8380,7.738807e-01
0.8390,7.847748e-01
0.8400,7.946771e-01
0.8410,8.035850e-01
0.8420,8.115111e-01
0.8430,8.184825e-01
0.8440,8.245389e-01
0.8450,8.297318e-01
0.8460,8.341220e-01
0.8470,8.377779e-01
0.8480,8.407731e-01
0.8490,8.431844e-01
0.8500,8.450895e-01
0.8510,8.465642e-01
0.8520,8.476808e-01
0.8530,8.485058e-01
0.8540,8.490978e-01
0.8550,8.495062e-01
0.8560,8.497694e-01
0.8570,8.499144e-01
0.8580,8.499552e-01
0.8590,8.498934e-01
0.8600,8.497175e-01
0.8610,8.494036e-01
0.8620,8.489163e-01
0.8630,8.482093e-01
0.8640,8.472276e-01
0.8650,8.459086e-01
0.8660,8.441840e-01
0.8670,8.419826e-01
0.8680,8.392319e-01
0.8690,8.358605e-01
0.8700,8.318010e-01
0.8710,8.269917e-01
0.8720,8.213791e-01
0.8730,8.149199e-01
0.8740,8.075831e-01
0.8750,7.993510e-01
0.8760,7.902213e-01
0.8770,7.802073e-01
0.8780,7.693392e-01
0.8790,7.576641e-01
0.8800,7.452457e-01
0.8810,7.321642e-01
0.8820,7.185152e-01
0.8830,7.044089e-01
0.8840,6.899680e-01
0.8850,6.753266e-01
0.8860,6.606277e-01
0.8870,6.460210e-01
0.8880,6.316609e-01
0.8890,6.177033e-01
0.8900,6.043035e-01
0.8910,5.916135e-01
0.8920,5.797791e-01
0.8930,5.689377e-01
0.8940,5.592157e-01
0.8950,5.507263e-01
0.8960,5.435675e-01
0.8970,5.378201e-01
0.8980,5.335463e-01
0.8990,5.307884e-01
0.9000,5.295680e-01
0.9010,5.298851e-01
0.9020,5.317181e-01
0.9030,5.350237e-01
0.9040,5.397376e-01
0.9050,5.457749e-01
0.9060,5.530315e-01
0.9070,5.613856e-01
0.9080,5.706991e-01
0.9090,5.808197e-01
0.9100,5.915835e-01
0.9110,6.028168e-01
0.9120,6.143393e-01
0.9130,6.259665e-01
0.9140,6.375126e-01
0.9150,6.487933e-01
0.9160,6.596289e-01
0.9170,6.698467e-01
0.9180,6.792840e-01
0.9190,6.877906e-01
0.9200,6.952310e-01
0.9210,7.014868e-01
0.9220,7.064584e-01
0.9230,7.100666e-01
0.9240,7.122538e-01
0.9250,7.129852e-01
0.9260,7.122488e-01
0.9270,7.100562e-01
0.9280,7.064420e-01
0.9290,7.014635e-01
0.9300,6.951994e-01
0.9310,6.877488e-01
0.9320,6.792299e-01
0.9330,6.697772e-01
0.9340,6.595404e-01
0.9350,6.486812e-01
0.9360,6.373712e-01
0.9370,6.257889e-01
0.9380,6.141171e-01
0.9390,6.025396e-01
0.9400,5.912389e-01
0.9410,5.803928e-01
0.9420,5.701717e-01
0.9430,5.607363e-01
0.9440,5.522345e-01
0.9450,5.447996e-01
0.9460,5.385478e-01
0.9470,5.335770e-01
0.9480,5.299643e-01
0.9490,5.277657e-01
0.9500,5.270148e-01
0.9510,5.277221e-01
0.9520,5.298754e-01
0.9530,5.334391e-01
0.9540,5.383554e-01
0.9550,5.445450e-01
0.9560,5.519078e-01
0.9570,5.603252e-01
0.9580,5.696610e-01
0.9590,5.797643e-01
0.9600,5.904708e-01
0.9610,6.016063e-01
0.9620,6.129884e-01
0.9630,6.244300e-01
0.9640,6.357417e-01
0.9650,6.467347e-01
0.9660,6.572239e-01
0.9670,6.670304e-01
0.9680,6.759846e-01
0.9690,6.839285e-01
0.9700,6.907182e-01
0.9710,6.962263e-01
0.9720,7.003435e-01
0.9730,7.029807e-01
0.9740,7.040702e-01
0.9750,7.035667e-01
0.9760,7.014483e-01
0.9770,6.977170e-01
0.9780,6.923984e-01
0.9790,6.855420e-01
0.9800,6.772201e-01
0.9810,6.675277e-01
0.9820,6.565804e-01
0.9830,6.445141e-01
0.9840,6.314825e-01
0.9850,6.176556e-01
0.9860,6.032177e-01
0.9870,5.883653e-01
0.9880,5.733046e-01
0.9890,5.582493e-01
0.9900,5.434181e-01
0.9910,5.290322e-01
0.9920,5.153132e-01
0.9930,5.024801e-01
0.9940,4.907472e-01
0.9950,4.803219e-01
0.9960,4.714019e-01
0.9970,4.641738e-01
0.9980,4.588103e-01
0.9990,4.554685e-01
1.0000,4.542884e-01
1.0010,4.553904e-01
1.0020,4.588745e-01
1.0030,4.648184e-01
1.0040,4.732763e-01
1.0050,4.842780e-01
1.0060,4.978278e-01
1.0070,5.139040e-01
1.0080,5.324581e-01
1.0090,5.534148e-01
1.0100,5.766720e-01
1.0110,6.021011e-01
1.0120,6.295473e-01
1.0130,6.588309e-01
1.0140,6.897481e-01
1.0150,7.220726e-01
1.0160,7.555576e-01
1.0170,7.899377e-01
1.0180,8.249317e-01
1.0190,8.602448e-01
1.0200,8.955724e-01
1.0210,9.306026e-01
1.0220,9.650204e-01
1.0230,9.985110e-01
1.0240,1.030764e+00
1.0250,1.061477e+00
1.0260,1.090358e+00
1.0270,1.117135e+00
1.0280,1.141551e+00
1.0290,1.163375e+00
1.0300,1.182402e+00
1.0310,1.198457e+00
1.0320,1.211397e+00
1.0330,1.221115e+00
1.0340,1.227538e+00
1.0350,1.230634e+00
1.0360,1.230409e+00
1.0370,1.226908e+00
1.0380,1.220215e+00
1.0390,1.210451e+00
1.0400,1.197777e+00
1.0410,1.182385e+00
1.0420,1.164503e+00
1.0430,1.144387e+00
1.0440,1.122320e+00
1.0450,1.098608e+00
1.0460,1.073575e+00
1.0470,1.047562e+00
1.0480,1.020919e+00
1.0490,9.940022e-01
1.0500,9.671696e-01
1.0510,9.407760e-01
1.0520,9.151689e-01
1.0530,8.906841e-01
1.0540,8.676413e-01
1.0550,8.463405e-01
1.0560,8.270579e-01
1.0570,8.100432e-01
1.0580,7.955160e-01
1.0590,7.836635e-01
1.0600,7.746382e-01
1.0610,7.685560e-01
1.0620,7.654949e-01
1.0630,7.654942e-01
1.0640,7.685538e-01
1.0650,7.746345e-01
1.0660,7.836581e-01
1.0670,7.955085e-01
1.0680,8.100332e-01
1.0690,8.270449e-01
1.0700,8.463239e-01
1.0710,8.676203e-01
1.0720,8.906576e-01
1.0730,9.151357e-01
1.0740,9.407346e-01
1.0750,9.671182e-01
1.0760,9.939387e-01
1.0770,1.020841e+00
1.0780,1.047466e+00
1.0790,1.073458e+00
1.0800,1.098465e+00
1.0810,1.122147e+00
1.0820,1.144179e+00
1.0830,1.164253e+00
1.0840,1.182085e+00
1.0850,1.197419e+00
1.0860,1.210027e+00
1.0870,1.219713e+00
1.0880,1.226318e+00
1.0890,1.229718e+00
1.0900,1.229828e+00
1.0910,1.226601e+00
1.0920,1.220033e+00
1.0930,1.210154e+00
1.0940,1.197036e+00
1.0950,1.180786e+00
1.0960,1.161548e+00
1.0970,1.139498e+00
1.0980,1.114842e+00
1.0990,1.087816e+00
1.1000,1.058678e+00
1.1010,1.027707e+00
1.1020,9.952001e-01
1.1030,9.614690e-01
1.1040,9.268341e-01
1.1050,8.916226e-01
1.1060,8.561641e-01
1.1070,8.207880e-01
1.1080,7.858193e-01
1.1090,7.515758e-01
1.1100,7.183656e-01
1.1110,6.864838e-01
1.1120,6.562107e-01
1.1130,6.278095e-01
1.1140,6.015242e-01
1.1150,5.775786e-01
1.1160,5.561742e-01
1.1170,5.374897e-01
1.1180,5.216797e-01
1.1190,5.088741e-01
1.1200,4.991773e-01
1.1210,4.926682e-01
1.1220,4.893993e-01
1.1230,4.893969e-01
1.1240,4.926609e-01
1.1250,4.991646e-01
1.1260,5.088552e-01
1.1270,5.216534e-01
1.1280,5.374544e-01
1.1290,5.561278e-01
1.1300,5.775184e-01
1.1310,6.014468e-01
1.1320,6.277104e-01
1.1330,6.560846e-01
1.1340,6.863239e-01
1.1350,7.181636e-01
1.1360,7.513216e-01
1.1370,7.855003e-01
1.1380,8.203892e-01
1.1390,8.556670e-01
1.1400,8.910047e-01
1.1410,9.260688e-01
1.1420,9.605240e-01
1.1430,9.940368e-01
1.1440,1.026279e+00
1.1450,1.056931e+00
1.1460,1.085686e+00
1.1470,1.112253e+00
1.1480,1.136360e+00
1.1490,1.157757e+00
1.1500,1.176221e+00
1.1510,1.191555e+00
