# FLIR Boson 640 (VOx microbolometer) relative spectral response, R(lambda), peak-normalised.
# STATUS: ESTIMATED -- not a measurement. Shape: flat 1.0 over 7.75-13.25 um with raised-cosine
# edges of +/-0.25 um centred on the 7.5 and 13.5 um band edges quoted for VOx cores
# (docs/physics-model.md §16.1), zero outside 7.25-13.75 um. Optics + detector folded together.
# Expected error vs a measured curve: up to ~10 % in Lb(300 K) (ADR 0009, ADR 0013 when measured).
# Columns: wavelength in MICROMETRES, dimensionless response in [0, 1]. Grid 0.01 um.
# Authored 2026-09-11 (roadmap M1.3).
wavelength_um,response
7.00,0.000000
7.01,0.000000
7.02,0.000000
7.03,0.000000
7.04,0.000000
7.05,0.000000
7.06,0.000000
7.07,0.000000
7.08,0.000000
7.09,0.000000
7.10,0.000000
7.11,0.000000
7.12,0.000000
7.13,0.000000
7.14,0.000000
7.15,0.000000
7.16,0.000000
7.17,0.000000
7.18,0.000000
7.19,0.000000
7.20,0.000000
7.21,0.000000
7.22,0.000000
7.23,0.000000
7.24,0.000000
7.25,0.000000
7.26,0.000987
7.27,0.003943
7.28,0.008856
7.29,0.015708
7.30,0.024472
7.31,0.035112
7.32,0.047586
7.33,0.061847
7.34,0.077836
7.35,0.095492
7.36,0.114743
7.37,0.135516
7.38,0.157726
7.39,0.181288
7.40,0.206107
7.41,0.232087
7.42,0.259123
7.43,0.287110
7.44,0.315938
7.45,0.345492
7.46,0.375655
7.47,0.406309
7.48,0.437333
7.49,0.468605
7.50,0.500000
7.51,0.531395
7.52,0.562667
7.53,0.593691
7.54,0.624345
7.55,0.654508
7.56,0.684062
7.57,0.712890
7.58,0.740877
7.59,0.767913
7.60,0.793893
7.61,0.818712
7.62,0.842274
7.63,0.864484
7.64,0.885257
7.65,0.904508
7.66,0.922164
7.67,0.938153
7.68,0.952414
7.69,0.964888
7.70,0.975528
7.71,0.984292
7.72,0.991144
7.73,0.996057
7.74,0.999013
7.75,1.000000
7.76,1.000000
7.77,1.000000
7.78,1.000000
7.79,1.000000
7.80,1.000000
7.81,1.000000
7.82,1.000000
7.83,1.000000
7.84,1.000000
7.85,1.000000
7.86,1.000000
7.87,1.000000
7.88,1.000000
7.89,1.000000
7.90,1.000000
7.91,1.000000
7.92,1.000000
7.93,1.000000
7.94,1.000000
7.95,1.000000
7.96,1.000000
7.97,1.000000
7.98,1.000000
7.99,1.000000
8.00,1.000000
8.01,1.000000
8.02,1.000000
8.03,1.000000
8.04,1.000000
8.05,1.000000
8.06,1.000000
8.07,1.000000
8.08,1.000000
8.09,1.000000
8.10,1.000000
8.11,1.000000
8.12,1.000000
8.13,1.000000
8.14,1.000000
8.15,1.000000
8.16,1.000000
8.17,1.000000
8.18,1.000000
8.19,1.000000
8.20,1.000000
8.21,1.000000
8.22,1.000000
8.23,1.000000
8.24,1.000000
8.25,1.000000
8.26,1.000000
8.27,1.000000
8.28,1.000000
8.29,1.000000
8.30,1.000000
8.31,1.000000
8.32,1.000000
8.33,1.000000
8.34,1.000000
8.35,1.000000
8.36,1.000000
8.37,1.000000
8.38,1.000000
8.39,1.000000
8.40,1.000000
8.41,1.000000
8.42,1.000000
8.43,1.000000
8.44,1.000000
8.45,1.000000
8.46,1.000000
8.47,1.000000
8.48,1.000000
8.49,1.000000
8.50,1.000000
8.51,1.000000
8.52,1.000000
8.53,1.000000
8.54,1.000000
8.55,1.000000
8.56,1.000000
8.57,1.000000
8.58,1.000000
8.59,1.000000
8.60,1.000000
8.61,1.000000
8.62,1.000000
8.63,1.000000
8.64,1.000000
8.65,1.000000
8.66,1.000000
8.67,1.000000
8.68,1.000000
8.69,1.000000
8.70,1.000000
8.71,1.000000
8.72,1.000000
8.73,1.000000
8.74,1.000000
8.75,1.000000
8.76,1.000000
8.77,1.000000
8.78,1.000000
8.79,1.000000
8.80,1.000000
8.81,1.000000
8.82,1.000000
8.83,1.000000
8.84,1.000000
8.85,1.000000
8.86,1.000000
8.87,1.000000
8.88,1.000000
8.89,1.000000
8.90,1.000000
8.91,1.000000
8.92,1.000000
8.93,1.000000
8.94,1.000000
8.95,1.000000
8.96,1.000000
8.97,1.000000
8.98,1.000000
8.99,1.000000
9.00,1.000000
9.01,1.000000
9.02,1.000000
9.03,1.000000
9.04,1.000000
9.05,1.000000
9.06,1.000000
9.07,1.000000
9.08,1.000000
9.09,1.000000
9.10,1.000000
9.11,1.000000
9.12,1.000000
9.13,1.000000
9.14,1.000000
9.15,1.000000
9.16,1.000000
9.17,1.000000
9.18,1.000000
9.19,1.000000
9.20,1.000000
9.21,1.000000
9.22,1.000000
9.23,1.000000
9.24,1.000000
9.25,1.000000
9.26,1.000000
9.27,1.000000
9.28,1.000000
9.29,1.000000
9.30,1.000000
9.31,1.000000
9.32,1.000000
9.33,1.000000
9.34,1.000000
9.35,1.000000
9.36,1.000000
9.37,1.000000
9.38,1.000000
9.39,1.000000
9.40,1.000000
9.41,1.000000
9.42,1.000000
9.43,1.000000
9.44,1.000000
9.45,1.000000
9.46,1.000000
9.47,1.000000
9.48,1.000000
9.49,1.000000
9.50,1.000000
9.51,1.000000
9.52,1.000000
9.53,1.000000
9.54,1.000000
9.55,1.000000
9.56,1.000000
9.57,1.000000
9.58,1.000000
9.59,1.000000
9.60,1.000000
9.61,1.000000
9.62,1.000000
9.63,1.000000
9.64,1.000000
9.65,1.000000
9.66,1.000000
9.67,1.000000
9.68,1.000000
9.69,1.000000
9.70,1.000000
9.71,1.000000
9.72,1.000000
9.73,1.000000
9.74,1.000000
9.75,1.000000
9.76,1.000000
9.77,1.000000
9.78,1.000000
9.79,1.000000
9.80,1.000000
9.81,1.000000
9.82,1.000000
9.83,1.000000
9.84,1.000000
9.85,1.000000
9.86,1.000000
9.87,1.000000
9.88,1.000000
9.89,1.000000
9.90,1.000000
9.91,1.000000
9.92,1.000000
9.93,1.000000
9.94,1.000000
9.95,1.000000
9.96,1.000000
9.97,1.000000
9.98,1.000000
9.99,1.000000
10.00,1.000000
10.01,1.000000
10.02,1.000000
10.03,1.000000
10.04,1.000000
10.05,1.000000
10.06,1.000000
10.07,1.000000
10.08,1.000000
10.09,1.000000
10.10,1.000000
10.11,1.000000
10.12,1.000000
10.13,1.000000
10.14,1.000000
10.15,1.000000
10.16,1.000000
10.17,1.000000
10.18,1.000000
10.19,1.000000
10.20,1.000000
10.21,1.000000
10.22,1.000000
10.23,1.000000
10.24,1.000000
10.25,1.000000
10.26,1.000000
10.27,1.000000
