# Generic 640x512 InGaAs SWIR camera, relative spectral response R(lambda), peak-normalised.
# STATUS: ESTIMATED -- not a measurement of any specific unit. Optics + detector folded together.
#
# Shape (docs/physics-model.md §12.1 SWIR row, roadmap M11.1):
#   * cut-on: raised cosine over 0.85-0.95 um. Back-illuminated lattice-matched In0.53Ga0.47As
#     is read through its InP substrate, whose own gap (1.35 eV, 0.92 um) sets the short-wave
#     edge; the 0.1 um width is the absorption edge broadened by the AR coat and window.
#   * plateau: 0.95 -> 1.00 linearly over 0.95-1.60 um. Quantum efficiency creeps up as the
#     absorption depth grows towards the band edge; datasheets show a few percent of tilt, not a
#     flat top.
#   * cut-off: raised cosine over 1.60-1.72 um, i.e. half response at 1.66 um. The alloy's gap is
#     0.75 eV -> 1.653 um; vendors quote "1.7 um cutoff" at the 10 % point, which this shape puts
#     at 1.70 um.
# Expected error vs a measured curve: the plateau level is a normalisation, so it cancels in a
# peak-normalised R(lambda); the cut-off placement is good to ~0.02 um, the cut-on to ~0.05 um.
# Columns: wavelength in MICROMETRES, dimensionless response in [0, 1]. Grid 0.005 um.
# Authored 2026-09-15 (roadmap M11.1).
wavelength_um,response
0.800,0.000000
0.805,0.000000
0.810,0.000000
0.815,0.000000
0.820,0.000000
0.825,0.000000
0.830,0.000000
0.835,0.000000
0.840,0.000000
0.845,0.000000
0.850,0.000000
0.855,0.005848
0.860,0.023248
0.865,0.051772
0.870,0.090717
0.875,0.139124
0.880,0.195802
0.885,0.259355
0.890,0.328217
0.895,0.400694
0.900,0.475000
0.905,0.549306
0.910,0.621783
0.915,0.690645
0.920,0.754198
0.925,0.810876
0.930,0.859283
0.935,0.898228
0.940,0.926752
0.945,0.944152
0.950,0.950000
0.955,0.950385
0.960,0.950769
0.965,0.951154
0.970,0.951538
0.975,0.951923
0.980,0.952308
0.985,0.952692
0.990,0.953077
0.995,0.953462
1.000,0.953846
1.005,0.954231
1.010,0.954615
1.015,0.955000
1.020,0.955385
1.025,0.955769
1.030,0.956154
1.035,0.956538
1.040,0.956923
1.045,0.957308
1.050,0.957692
1.055,0.958077
1.060,0.958462
1.065,0.958846
1.070,0.959231
1.075,0.959615
1.080,0.960000
1.085,0.960385
1.090,0.960769
1.095,0.961154
1.100,0.961538
1.105,0.961923
1.110,0.962308
1.115,0.962692
1.120,0.963077
1.125,0.963462
1.130,0.963846
1.135,0.964231
1.140,0.964615
1.145,0.965000
1.150,0.965385
1.155,0.965769
1.160,0.966154
1.165,0.966538
1.170,0.966923
1.175,0.967308
1.180,0.967692
1.185,0.968077
1.190,0.968462
1.195,0.968846
1.200,0.969231
1.205,0.969615
1.210,0.970000
1.215,0.970385
1.220,0.970769
1.225,0.971154
1.230,0.971538
1.235,0.971923
1.240,0.972308
1.245,0.972692
1.250,0.973077
1.255,0.973462
1.260,0.973846
1.265,0.974231
1.270,0.974615
1.275,0.975000
1.280,0.975385
1.285,0.975769
1.290,0.976154
1.295,0.976538
1.300,0.976923
1.305,0.977308
1.310,0.977692
1.315,0.978077
1.320,0.978462
1.325,0.978846
1.330,0.979231
1.335,0.979615
1.340,0.980000
1.345,0.980385
1.350,0.980769
1.355,0.981154
1.360,0.981538
1.365,0.981923
1.370,0.982308
1.375,0.982692
1.380,0.983077
1.385,0.983462
1.390,0.983846
1.395,0.984231
1.400,0.984615
1.405,0.985000
1.410,0.985385
1.415,0.985769
1.420,0.986154
1.425,0.986538
1.430,0.986923
1.435,0.987308
1.440,0.987692
1.445,0.988077
1.450,0.988462
1.455,0.988846
1.460,0.989231
1.465,0.989615
1.470,0.990000
1.475,0.990385
1.480,0.990769
1.485,0.991154
1.490,0.991538
1.495,0.991923
1.500,0.992308
1.505,0.992692
1.510,0.993077
1.515,0.993462
1.520,0.993846
1.525,0.994231
1.530,0.994615
1.535,0.995000
1.540,0.995385
1.545,0.995769
1.550,0.996154
1.555,0.996538
1.560,0.996923
1.565,0.997308
1.570,0.997692
1.575,0.998077
1.580,0.998462
1.585,0.998846
1.590,0.999231
1.595,0.999615
1.600,1.000000
1.605,0.995722
1.610,0.982963
1.615,0.961940
1.620,0.933013
1.625,0.896677
1.630,0.853553
1.635,0.804381
1.640,0.750000
1.645,0.691342
1.650,0.629410
1.655,0.565263
1.660,0.500000
1.665,0.434737
1.670,0.370590
1.675,0.308658
1.680,0.250000
1.685,0.195619
1.690,0.146447
1.695,0.103323
1.700,0.066987
1.705,0.038060
1.710,0.017037
1.715,0.004278
1.720,0.000000
1.725,0.000000
1.730,0.000000
1.735,0.000000
1.740,0.000000
1.745,0.000000
1.750,0.000000
1.755,0.000000
1.760,0.000000
1.765,0.000000
1.770,0.000000
1.775,0.000000
1.780,0.000000
1.785,0.000000
1.790,0.000000
1.795,0.000000
1.800,0.000000
