# Generic 640x512 InSb MWIR camera at 77 K, relative spectral response R(lambda), peak-normalised.
# STATUS: ESTIMATED -- not a measurement of any specific unit. Cold filter + detector + optics
# folded together.
#
# Shape (docs/physics-model.md §12.1 MWIR row, roadmap M11.5):
#   * cut-on: raised cosine over 2.90-3.10 um. InSb itself responds from about 1 um; the short-
#     wave edge of a 3-5 um camera is the COLD FILTER, not the detector. That is why it is
#     steeper than the InGaAs substrate edge -- an interference filter at 77 K, not an
#     absorption edge.
#   * plateau: 0.92 -> 1.00 linearly over 3.10-4.90 um, the usual mild rise towards the band edge.
#   * cut-off: raised cosine over 4.90-5.25 um. Two mechanisms coincide here and the narrower one
#     wins: the cold filter's long-wave edge sits just inside InSb's own gap (0.23 eV at 77 K ->
#     5.39 um), which is why a warmer detector's cut-off creeps out and a filtered camera's does
#     not.
# NOTE: this is a plain 3-5 um shape. Many MWIR cameras ship a "blue" filter (about 3.6-4.2 um)
# to sit outside the 4.2-4.4 um CO2 absorption; that is a different file, not a different model,
# which is the point of keeping bands in data.
# Columns: wavelength in MICROMETRES, dimensionless response in [0, 1]. Grid 0.005 um.
# Authored 2026-09-15 (roadmap M11.5).
wavelength_um,response
2.500,0.000000
2.505,0.000000
2.510,0.000000
2.515,0.000000
2.520,0.000000
2.525,0.000000
2.530,0.000000
2.535,0.000000
2.540,0.000000
2.545,0.000000
2.550,0.000000
2.555,0.000000
2.560,0.000000
2.565,0.000000
2.570,0.000000
2.575,0.000000
2.580,0.000000
2.585,0.000000
2.590,0.000000
2.595,0.000000
2.600,0.000000
2.605,0.000000
2.610,0.000000
2.615,0.000000
2.620,0.000000
2.625,0.000000
2.630,0.000000
2.635,0.000000
2.640,0.000000
2.645,0.000000
2.650,0.000000
2.655,0.000000
2.660,0.000000
2.665,0.000000
2.670,0.000000
2.675,0.000000
2.680,0.000000
2.685,0.000000
2.690,0.000000
2.695,0.000000
2.700,0.000000
2.705,0.000000
2.710,0.000000
2.715,0.000000
2.720,0.000000
2.725,0.000000
2.730,0.000000
2.735,0.000000
2.740,0.000000
2.745,0.000000
2.750,0.000000
2.755,0.000000
2.760,0.000000
2.765,0.000000
2.770,0.000000
2.775,0.000000
2.780,0.000000
2.785,0.000000
2.790,0.000000
2.795,0.000000
2.800,0.000000
2.805,0.000000
2.810,0.000000
2.815,0.000000
2.820,0.000000
2.825,0.000000
2.830,0.000000
2.835,0.000000
2.840,0.000000
2.845,0.000000
2.850,0.000000
2.855,0.000000
2.860,0.000000
2.865,0.000000
2.870,0.000000
2.875,0.000000
2.880,0.000000
2.885,0.000000
2.890,0.000000
2.895,0.000000
2.900,0.000000
2.905,0.001418
2.910,0.005663
2.915,0.012710
2.920,0.022514
2.925,0.035015
2.930,0.050137
2.935,0.067786
2.940,0.087852
2.945,0.110213
2.950,0.134731
2.955,0.161254
2.960,0.189619
2.965,0.219651
2.970,0.251164
2.975,0.283966
2.980,0.317852
2.985,0.352615
2.990,0.388040
2.995,0.423909
3.000,0.460000
3.005,0.496091
3.010,0.531960
3.015,0.567385
3.020,0.602148
3.025,0.636034
3.030,0.668836
3.035,0.700349
3.040,0.730381
3.045,0.758746
3.050,0.785269
3.055,0.809787
3.060,0.832148
3.065,0.852214
3.070,0.869863
3.075,0.884985
3.080,0.897486
3.085,0.907290
3.090,0.914337
3.095,0.918582
3.100,0.920000
3.105,0.920222
3.110,0.920444
3.115,0.920667
3.120,0.920889
3.125,0.921111
3.130,0.921333
3.135,0.921556
3.140,0.921778
3.145,0.922000
3.150,0.922222
3.155,0.922444
3.160,0.922667
