# Clear-sky DIRECT-NORMAL solar spectral irradiance at the ground, air mass 1.5. Columns:
# wavelength in MICROMETRES, spectral irradiance in W m-2 um-1.
#
# STATUS: MODELLED, NOT MEASURED. Not ASTM G-173. The extraterrestrial input is the companion
# toa_planck_5778k.csv; the atmosphere is a clear-sky direct-beam band model --
#   * Rayleigh scattering, Bird & Riordan (1984) analytic optical depth
#   * Angstrom aerosol, beta = 0.03812, alpha = 1.14 (AOD 0.084 at 500 nm)
#   * ozone Chappuis band, 0.34 atm-cm
#   * the major water-vapour bands and the O2 A-band / CO2 bands as Gaussians in ln(lambda)
# Band CENTRES are spectroscopy. Band STRENGTHS carry one common water multiplier, fitted here to
# 0.093663 so that the AM1.5 integral is the 900.1 W m-2 that defines G-173's direct-normal
# reference. The integral is therefore NOT an independent check of this file; the checks that are
# independent are on shape -- 1.38 um and 1.87 um come out opaque, which is why a SWIR camera is
# blind there, and that was not fitted.
#
# Total: 900.10 W m-2. Transmittance at 1.38 um 0.0248, at 1.87 um 0.0082,
# at 1.06 um 0.9241, at 1.55 um 0.9441.
# Generated by scripts/generate_solar_spectra.py on 2026-09-15 (roadmap M11.3).
wavelength_um,irradiance_w_m2_um
0.3000,1.081816e+02
0.3020,1.166218e+02
0.3040,1.254246e+02
0.3060,1.345864e+02
0.3080,1.441027e+02
0.3100,1.539684e+02
0.3120,1.641773e+02
0.3140,1.747226e+02
0.3160,1.855968e+02
0.3180,1.967917e+02
0.3200,2.082984e+02
0.3220,2.201077e+02
0.3240,2.322095e+02
0.3260,2.445936e+02
0.3280,2.572491e+02
0.3300,2.701648e+02
0.3320,2.833293e+02
0.3340,2.967308e+02
0.3360,3.103572e+02
0.3380,3.241965e+02
0.3400,3.382361e+02
0.3420,3.524637e+02
0.3440,3.668666e+02
0.3460,3.814323e+02
0.3480,3.961482e+02
0.3500,4.110016e+02
0.3520,4.259800e+02
0.3540,4.410710e+02
0.3560,4.562621e+02
0.3580,4.715411e+02
0.3600,4.868959e+02
0.3620,5.023145e+02
0.3640,5.177853e+02
0.3660,5.332966e+02
0.3680,5.488371e+02
0.3700,5.643956e+02
0.3720,5.799615e+02
0.3740,5.955239e+02
0.3760,6.110725e+02
0.3780,6.265973e+02
0.3800,6.420883e+02
0.3820,6.575361e+02
0.3840,6.729315e+02
0.3860,6.882653e+02
0.3880,7.035290e+02
0.3900,7.187141e+02
0.3920,7.338126e+02
0.3940,7.488165e+02
0.3960,7.637185e+02
0.3980,7.785112e+02
0.4000,7.931876e+02
0.4020,8.077412e+02
0.4040,8.221656e+02
0.4060,8.364545e+02
0.4080,8.506022e+02
0.4100,8.646032e+02
0.4120,8.784521e+02
0.4140,8.921438e+02
0.4160,9.056736e+02
0.4180,9.190370e+02
0.4200,9.322296e+02
0.4220,9.452473e+02
0.4240,9.580865e+02
0.4260,9.707435e+02
0.4280,9.832149e+02
0.4300,9.954975e+02
0.4320,1.007589e+03
0.4340,1.019485e+03
0.4360,1.031185e+03
0.4380,1.042685e+03
0.4400,1.053984e+03
0.4420,1.065080e+03
0.4440,1.075971e+03
0.4460,1.086655e+03
0.4480,1.097131e+03
0.4500,1.107397e+03
0.4520,1.117453e+03
0.4540,1.127298e+03
0.4560,1.136931e+03
0.4580,1.146351e+03
0.4600,1.155558e+03
0.4620,1.164551e+03
0.4640,1.173330e+03
0.4660,1.181896e+03
0.4680,1.190249e+03
0.4700,1.198388e+03
0.4720,1.206314e+03
0.4740,1.214027e+03
0.4760,1.221529e+03
0.4780,1.228819e+03
0.4800,1.235899e+03
0.4820,1.242770e+03
0.4840,1.249433e+03
0.4860,1.255889e+03
0.4880,1.262139e+03
0.4900,1.268185e+03
0.4920,1.274029e+03
0.4940,1.279671e+03
0.4960,1.285114e+03
0.4980,1.290360e+03
0.5000,1.295411e+03
0.5020,1.300268e+03
0.5040,1.304935e+03
0.5060,1.309412e+03
0.5080,1.313703e+03
0.5100,1.317809e+03
0.5120,1.321735e+03
0.5140,1.325481e+03
0.5160,1.329050e+03
0.5180,1.332446e+03
0.5200,1.335672e+03
0.5220,1.338729e+03
0.5240,1.341621e+03
0.5260,1.344352e+03
0.5280,1.346923e+03
0.5300,1.349339e+03
0.5320,1.351601e+03
0.5340,1.353715e+03
0.5360,1.355682e+03
0.5380,1.357505e+03
0.5400,1.359189e+03
0.5420,1.360737e+03
0.5440,1.362151e+03
0.5460,1.363436e+03
0.5480,1.364593e+03
0.5500,1.365628e+03
0.5520,1.366542e+03
0.5540,1.367340e+03
0.5560,1.368024e+03
0.5580,1.368599e+03
0.5600,1.369066e+03
0.5620,1.369429e+03
0.5640,1.369691e+03
0.5660,1.369856e+03
0.5680,1.369926e+03
0.5700,1.369905e+03
0.5720,1.369795e+03
0.5740,1.369599e+03
0.5760,1.369320e+03
0.5780,1.368960e+03
0.5800,1.368523e+03
0.5820,1.368011e+03
0.5840,1.367426e+03
0.5860,1.366770e+03
0.5880,1.366047e+03
0.5900,1.365257e+03
0.5920,1.364404e+03
0.5940,1.363489e+03
0.5960,1.362515e+03
0.5980,1.361482e+03
0.6000,1.360393e+03
0.6020,1.359250e+03
0.6040,1.358053e+03
0.6060,1.356805e+03
0.6080,1.355506e+03
0.6100,1.354159e+03
