# Extraterrestrial solar spectral irradiance at 1 AU. Columns: wavelength in MICROMETRES,
# spectral irradiance in W m-2 um-1.
#
# STATUS: MODELLED, NOT MEASURED. This is a 5778 K Planck exitance normalised so that its
# integral over 0.3-20.0 um is the 1361 W m-2 solar constant -- the standard
# effective-temperature model of the sun, NOT the ASTM E-490 tabulated standard. Do not cite it
# as E-490. ADR 0064 records why (no network on the authoring machine; inventing digits under a
# standard's name is worse than a model that says what it is) and how to swap the real table in:
# drop an E-490 CSV here in the same two columns, and nothing else in the repository changes.
#
# Expected error: a few percent above ~0.7 um, which is where every band this simulator
# configures lives, and badly wrong in the ultraviolet -- this model puts 9.1 % of the
# constant below 0.4 um against a real ~8 %. irsim.radiometry.solar therefore REFUSES a spectral
# response reaching below 0.7 um rather than quietly integrating the wrong region.
#
# Model band fractions (recorded so that swapping in E-490 shows exactly what moved):
#   UV  0.30-0.40:   123.78 W m-2 ( 9.09 %)
#   VIS 0.40-0.70:   512.61 W m-2 (37.66 %)
#   NIR 0.75-1.00:   251.52 W m-2 (18.48 %)
#   SWIR 0.90-1.70:   354.59 W m-2 (26.05 %)
#   MWIR 3.0-5.0 :    22.47 W m-2 ( 1.65 %)
#   LWIR 7.5-13.5:     1.90 W m-2 ( 0.14 %)

# Generated by scripts/generate_solar_spectra.py on 2026-09-15 (roadmap M11.3).
wavelength_um,irradiance_w_m2_um
0.3000,8.512689e+02
0.3020,8.699958e+02
0.3040,8.886872e+02
0.3060,9.073336e+02
0.3080,9.259257e+02
0.3100,9.444544e+02
0.3120,9.629110e+02
0.3140,9.812867e+02
0.3160,9.995732e+02
0.3180,1.017762e+03
0.3200,1.035847e+03
0.3220,1.053818e+03
0.3240,1.071669e+03
0.3260,1.089392e+03
0.3280,1.106982e+03
0.3300,1.124430e+03
0.3320,1.141731e+03
0.3340,1.158878e+03
0.3360,1.175866e+03
0.3380,1.192689e+03
0.3400,1.209342e+03
0.3420,1.225819e+03
0.3440,1.242115e+03
0.3460,1.258226e+03
0.3480,1.274146e+03
0.3500,1.289873e+03
0.3520,1.305402e+03
0.3540,1.320729e+03
0.3560,1.335850e+03
0.3580,1.350763e+03
0.3600,1.365464e+03
0.3620,1.379949e+03
0.3640,1.394218e+03
0.3660,1.408266e+03
0.3680,1.422091e+03
0.3700,1.435692e+03
0.3720,1.449067e+03
0.3740,1.462213e+03
0.3760,1.475129e+03
0.3780,1.487814e+03
0.3800,1.500266e+03
0.3820,1.512485e+03
0.3840,1.524469e+03
0.3860,1.536218e+03
0.3880,1.547731e+03
0.3900,1.559007e+03
0.3920,1.570047e+03
0.3940,1.580849e+03
0.3960,1.591415e+03
0.3980,1.601744e+03
0.4000,1.611836e+03
0.4020,1.621692e+03
0.4040,1.631312e+03
0.4060,1.640696e+03
0.4080,1.649846e+03
0.4100,1.658761e+03
0.4120,1.667444e+03
0.4140,1.675894e+03
0.4160,1.684113e+03
0.4180,1.692102e+03
0.4200,1.699863e+03
0.4220,1.707395e+03
0.4240,1.714702e+03
0.4260,1.721784e+03
0.4280,1.728643e+03
0.4300,1.735280e+03
0.4320,1.741697e+03
0.4340,1.747895e+03
0.4360,1.753878e+03
0.4380,1.759645e+03
0.4400,1.765200e+03
0.4420,1.770544e+03
0.4440,1.775678e+03
0.4460,1.780606e+03
0.4480,1.785328e+03
0.4500,1.789848e+03
0.4520,1.794167e+03
0.4540,1.798287e+03
0.4560,1.802211e+03
0.4580,1.805940e+03
0.4600,1.809477e+03
0.4620,1.812825e+03
0.4640,1.815984e+03
0.4660,1.818958e+03
0.4680,1.821750e+03
0.4700,1.824360e+03
0.4720,1.826792e+03
0.4740,1.829048e+03
0.4760,1.831130e+03
0.4780,1.833040e+03
0.4800,1.834782e+03
0.4820,1.836356e+03
0.4840,1.837767e+03
0.4860,1.839015e+03
0.4880,1.840103e+03
0.4900,1.841035e+03
0.4920,1.841811e+03
0.4940,1.842435e+03
0.4960,1.842908e+03
0.4980,1.843234e+03
0.5000,1.843414e+03
0.5020,1.843451e+03
0.5040,1.843347e+03
0.5060,1.843104e+03
0.5080,1.842725e+03
0.5100,1.842212e+03
0.5120,1.841567e+03
0.5140,1.840793e+03
0.5160,1.839892e+03
0.5180,1.838865e+03
0.5200,1.837716e+03
0.5220,1.836447e+03
0.5240,1.835059e+03
0.5260,1.833554e+03
0.5280,1.831936e+03
0.5300,1.830206e+03
0.5320,1.828366e+03
0.5340,1.826418e+03
0.5360,1.824365e+03
0.5380,1.822209e+03
0.5400,1.819951e+03
0.5420,1.817593e+03
0.5440,1.815138e+03
0.5460,1.812588e+03
0.5480,1.809944e+03
0.5500,1.807209e+03
0.5520,1.804384e+03
0.5540,1.801472e+03
0.5560,1.798473e+03
0.5580,1.795391e+03
0.5600,1.792227e+03
0.5620,1.788982e+03
0.5640,1.785659e+03
0.5660,1.782259e+03
0.5680,1.778785e+03
0.5700,1.775237e+03
0.5720,1.771618e+03
0.5740,1.767929e+03
0.5760,1.764171e+03
0.5780,1.760348e+03
0.5800,1.756459e+03
0.5820,1.752507e+03
0.5840,1.748494e+03
0.5860,1.744421e+03
0.5880,1.740289e+03
0.5900,1.736100e+03
0.5920,1.731855e+03
0.5940,1.727556e+03
0.5960,1.723205e+03
0.5980,1.718803e+03
0.6000,1.714350e+03
0.6020,1.709850e+03
0.6040,1.705302e+03
0.6060,1.700709e+03
0.6080,1.696071e+03
0.6100,1.691391e+03
0.6120,1.686669e+03
0.6140,1.681906e+03
0.6160,1.677104e+03
0.6180,1.672264e+03
0.6200,1.667387e+03
0.6220,1.662475e+03
0.6240,1.657528e+03
0.6260,1.652548e+03
0.6280,1.647536e+03
0.6300,1.642493e+03
0.6320,1.637420e+03
0.6340,1.632318e+03
0.6360,1.627189e+03
0.6380,1.622033e+03
0.6400,1.616851e+03
0.6420,1.611644e+03
0.6440,1.606413e+03
0.6460,1.601160e+03
0.6480,1.595885e+03
0.6500,1.590589e+03
0.6520,1.585274e+03
0.6540,1.579939e+03
0.6560,1.574586e+03
0.6580,1.569216e+03
0.6600,1.563829e+03
0.6620,1.558427e+03
0.6640,1.553010e+03
0.6660,1.547579e+03
0.6680,1.542135e+03
0.6700,1.536678e+03
0.6720,1.531210e+03
0.6740,1.525731e+03
0.6760,1.520242e+03
0.6780,1.514744e+03
0.6800,1.509237e+03
0.6820,1.503722e+03
0.6840,1.498199e+03
0.6860,1.492670e+03
0.6880,1.487135e+03
0.6900,1.481595e+03
0.6920,1.476049e+03
0.6940,1.470500e+03
0.6960,1.464947e+03
0.6980,1.459392e+03
0.7000,1.453834e+03
0.7020,1.448274e+03
0.7040,1.442713e+03
0.7060,1.437151e+03
0.7080,1.431589e+03
0.7100,1.426027e+03
0.7120,1.420467e+03
0.7140,1.414907e+03
0.7160,1.409350e+03
0.7180,1.403795e+03
0.7200,1.398243e+03
0.7220,1.392694e+03
0.7240,1.387148e+03
0.7260,1.381607e+03
0.7280,1.376070e+03
0.7300,1.370539e+03
0.7320,1.365012e+03
0.7340,1.359492e+03
0.7360,1.353978e+03
0.7380,1.348470e+03
0.7400,1.342969e+03
0.7420,1.337475e+03
0.7440,1.331990e+03
0.7460,1.326512e+03
0.7480,1.321042e+03
0.7500,1.315581e+03
0.7520,1.310129e+03
0.7540,1.304686e+03
0.7560,1.299253e+03
0.7580,1.293830e+03
0.7600,1.288417e+03
0.7620,1.283014e+03
0.7640,1.277622e+03
0.7660,1.272242e+03
0.7680,1.266872e+03
0.7700,1.261514e+03
0.7720,1.256167e+03
0.7740,1.250833e+03
0.7760,1.245511e+03
0.7780,1.240201e+03
0.7800,1.234904e+03
0.7820,1.229620e+03
0.7840,1.224349e+03
0.7860,1.219092e+03
0.7880,1.213847e+03
0.7900,1.208617e+03
0.7920,1.203400e+03
0.7940,1.198198e+03
0.7960,1.193010e+03
0.7980,1.187836e+03
0.8000,1.182676e+03
0.8020,1.177532e+03
0.8040,1.172402e+03
0.8060,1.167288e+03
0.8080,1.162188e+03
0.8100,1.157104e+03
0.8120,1.152035e+03
0.8140,1.146982e+03
0.8160,1.141945e+03
0.8180,1.136923e+03
0.8200,1.131918e+03
0.8220,1.126928e+03
0.8240,1.121955e+03
0.8260,1.116998e+03
0.8280,1.112057e+03
0.8300,1.107133e+03
0.8320,1.102225e+03
0.8340,1.097334e+03
0.8360,1.092460e+03
0.8380,1.087602e+03
0.8400,1.082762e+03
0.8420,1.077938e+03
0.8440,1.073132e+03
0.8460,1.068342e+03
0.8480,1.063570e+03
0.8500,1.058815e+03
0.8520,1.054077e+03
0.8540,1.049357e+03
0.8560,1.044654e+03
0.8580,1.039969e+03
0.8600,1.035301e+03
0.8620,1.030650e+03
0.8640,1.026018e+03
0.8660,1.021402e+03
0.8680,1.016805e+03
0.8700,1.012225e+03
0.8720,1.007663e+03
0.8740,1.003119e+03
0.8760,9.985921e+02
0.8780,9.940834e+02
0.8800,9.895925e+02
0.8820,9.851194e+02
0.8840,9.806642e+02
0.8860,9.762268e+02
0.8880,9.718074e+02
0.8900,9.674058e+02
0.8920,9.630221e+02
0.8940,9.586564e+02
0.8960,9.543085e+02
0.8980,9.499786e+02
0.9000,9.456666e+02
0.9020,9.413725e+02
0.9040,9.370963e+02
0.9060,9.328380e+02
0.9080,9.285977e+02
0.9100,9.243752e+02
0.9120,9.201706e+02
0.9140,9.159838e+02
0.9160,9.118149e+02
0.9180,9.076639e+02
0.9200,9.035306e+02
0.9220,8.994152e+02
0.9240,8.953176e+02
0.9260,8.912377e+02
0.9280,8.871756e+02
0.9300,8.831312e+02
0.9320,8.791045e+02
0.9340,8.750954e+02
0.9360,8.711041e+02
0.9380,8.671303e+02
0.9400,8.631741e+02
0.9420,8.592355e+02
0.9440,8.553144e+02
0.9460,8.514108e+02
0.9480,8.475246e+02
0.9500,8.436559e+02
0.9520,8.398046e+02
0.9540,8.359706e+02
0.9560,8.321539e+02
0.9580,8.283545e+02
0.9600,8.245724e+02
0.9620,8.208074e+02
0.9640,8.170597e+02
0.9660,8.133290e+02
0.9680,8.096154e+02
0.9700,8.059188e+02
0.9720,8.022393e+02
0.9740,7.985766e+02
0.9760,7.949309e+02
0.9780,7.913020e+02
0.9800,7.876899e+02
0.9820,7.840946e+02
0.9840,7.805160e+02
0.9860,7.769541e+02
0.9880,7.734088e+02
0.9900,7.698800e+02
0.9920,7.663678e+02
0.9940,7.628720e+02
0.9960,7.593926e+02
0.9980,7.559296e+02
1.0000,7.524829e+02
1.0020,7.490525e+02
1.0040,7.456382e+02
1.0060,7.422401e+02
1.0080,7.388581e+02
1.0100,7.354922e+02
1.0120,7.321422e+02
1.0140,7.288082e+02
1.0160,7.254901e+02
1.0180,7.221878e+02
1.0200,7.189012e+02
1.0220,7.156304e+02
1.0240,7.123752e+02
1.0260,7.091356e+02
1.0280,7.059115e+02
1.0300,7.027030e+02
1.0320,6.995098e+02
1.0340,6.963321e+02
1.0360,6.931696e+02
1.0380,6.900224e+02
1.0400,6.868904e+02
1.0420,6.837735e+02
1.0440,6.806717e+02
1.0460,6.775850e+02
1.0480,6.745131e+02
1.0500,6.714562e+02
1.0520,6.684142e+02
1.0540,6.653869e+02
1.0560,6.623743e+02
1.0580,6.593764e+02
1.0600,6.563931e+02
1.0620,6.534243e+02
1.0640,6.504701e+02
1.0660,6.475302e+02
1.0680,6.446047e+02
1.0700,6.416936e+02
1.0720,6.387966e+02
1.0740,6.359139e+02
1.0760,6.330452e+02
1.0780,6.301907e+02
1.0800,6.273501e+02
1.0820,6.245235e+02
1.0840,6.217108e+02
1.0860,6.189118e+02
1.0880,6.161267e+02
1.0900,6.133552e+02
1.0920,6.105974e+02
1.0940,6.078532e+02
1.0960,6.051225e+02
1.0980,6.024053e+02
1.1000,5.997014e+02
1.1020,5.970109e+02
1.1040,5.943337e+02
1.1060,5.916697e+02
1.1080,5.890189e+02
1.1100,5.863811e+02
1.1120,5.837564e+02
1.1140,5.811447e+02
1.1160,5.785459e+02
1.1180,5.759600e+02
1.1200,5.733869e+02
1.1220,5.708265e+02
1.1240,5.682788e+02
1.1260,5.657438e+02
1.1280,5.632213e+02
1.1300,5.607113e+02
1.1320,5.582138e+02
1.1340,5.557286e+02
1.1360,5.532558e+02
1.1380,5.507953e+02
1.1400,5.483470e+02
1.1420,5.459108e+02
1.1440,5.434868e+02
1.1460,5.410747e+02
1.1480,5.386747e+02
1.1500,5.362866e+02
1.1520,5.339104e+02
1.1540,5.315460e+02
1.1560,5.291933e+02
1.1580,5.268523e+02
1.1600,5.245230e+02
1.1620,5.222053e+02
1.1640,5.198991e+02
1.1660,5.176043e+02
1.1680,5.153210e+02
1.1700,5.130491e+02
1.1720,5.107884e+02
1.1740,5.085390e+02
1.1760,5.063008e+02
1.1780,5.040737e+02
1.1800,5.018577e+02
1.1820,4.996528e+02
1.1840,4.974588e+02
1.1860,4.952757e+02
1.1880,4.931035e+02
1.1900,4.909421e+02
1.1920,4.887915e+02
1.1940,4.866516e+02
1.1960,4.845223e+02
1.1980,4.824036e+02
1.2000,4.802954e+02
1.2020,4.781978e+02
1.2040,4.761106e+02
1.2060,4.740337e+02
1.2080,4.719672e+02
1.2100,4.699110e+02
1.2120,4.678650e+02
1.2140,4.658292e+02
1.2160,4.638035e+02
1.2180,4.617878e+02
1.2200,4.597822e+02
1.2220,4.577866e+02
1.2240,4.558009e+02
1.2260,4.538250e+02
1.2280,4.518590e+02
1.2300,4.499027e+02
1.2320,4.479562e+02
1.2340,4.460193e+02
1.2360,4.440920e+02
1.2380,4.421743e+02
1.2400,4.402661e+02
1.2420,4.383674e+02
1.2440,4.364781e+02
1.2460,4.345982e+02
1.2480,4.327276e+02
1.2500,4.308663e+02
1.2520,4.290142e+02
1.2540,4.271713e+02
1.2560,4.253375e+02
1.2580,4.235129e+02
1.2600,4.216972e+02
